GEO_ID,NAME,S2405_C01_001E
31001,"Adams County, Nebraska",15862
31003,"Antelope County, Nebraska",3217
31005,"Arthur County, Nebraska",199
31007,"Banner County, Nebraska",397
31009,"Blaine County, Nebraska",255
31011,"Boone County, Nebraska",2904
31013,"Box Butte County, Nebraska",5094
31015,"Boyd County, Nebraska",985
31017,"Brown County, Nebraska",1554
31019,"Buffalo County, Nebraska",27371
31021,"Burt County, Nebraska",2982
31023,"Butler County, Nebraska",4222
31025,"Cass County, Nebraska",13180
31027,"Cedar County, Nebraska",4584
31029,"Chase County, Nebraska",1934
31031,"Cherry County, Nebraska",3278
31033,"Cheyenne County, Nebraska",5067
31035,"Clay County, Nebraska",3016
31037,"Colfax County, Nebraska",5435
31039,"Cuming County, Nebraska",4610
31041,"Custer County, Nebraska",5503
31043,"Dakota County, Nebraska",10294
31045,"Dawes County, Nebraska",4661
31047,"Dawson County, Nebraska",12024
31049,"Deuel County, Nebraska",900
31051,"Dixon County, Nebraska",2897
31053,"Dodge County, Nebraska",18444
31055,"Douglas County, Nebraska",292805
31057,"Dundy County, Nebraska",923
31059,"Fillmore County, Nebraska",2876
31061,"Franklin County, Nebraska",1505
31063,"Frontier County, Nebraska",1294
31065,"Furnas County, Nebraska",2336
31067,"Gage County, Nebraska",11059
31069,"Garden County, Nebraska",876
31071,"Garfield County, Nebraska",1030
31073,"Gosper County, Nebraska",1125
31075,"Grant County, Nebraska",348
31077,"Greeley County, Nebraska",1172
31079,"Hall County, Nebraska",31540
31081,"Hamilton County, Nebraska",4909
31083,"Harlan County, Nebraska",1670
31085,"Hayes County, Nebraska",473
31087,"Hitchcock County, Nebraska",1386
31089,"Holt County, Nebraska",5685
31091,"Hooker County, Nebraska",287
31093,"Howard County, Nebraska",3323
31095,"Jefferson County, Nebraska",3438
31097,"Johnson County, Nebraska",2126
31099,"Kearney County, Nebraska",3388
31101,"Keith County, Nebraska",4076
31103,"Keya Paha County, Nebraska",385
31105,"Kimball County, Nebraska",1848
31107,"Knox County, Nebraska",4239
31109,"Lancaster County, Nebraska",171824
31111,"Lincoln County, Nebraska",17538
31113,"Logan County, Nebraska",478
31115,"Loup County, Nebraska",317
31117,"McPherson County, Nebraska",204
31119,"Madison County, Nebraska",18271
31121,"Merrick County, Nebraska",4023
31123,"Morrill County, Nebraska",2287
31125,"Nance County, Nebraska",1778
31127,"Nemaha County, Nebraska",3349
31129,"Nuckolls County, Nebraska",2206
31131,"Otoe County, Nebraska",8290
31133,"Pawnee County, Nebraska",1241
31135,"Perkins County, Nebraska",1516
31137,"Phelps County, Nebraska",4740
31139,"Pierce County, Nebraska",3799
31141,"Platte County, Nebraska",17399
31143,"Polk County, Nebraska",2639
31145,"Red Willow County, Nebraska",5715
31147,"Richardson County, Nebraska",3823
31149,"Rock County, Nebraska",754
31151,"Saline County, Nebraska",7140
31153,"Sarpy County, Nebraska",94810
31155,"Saunders County, Nebraska",10968
31157,"Scotts Bluff County, Nebraska",17175
31159,"Seward County, Nebraska",9129
31161,"Sheridan County, Nebraska",2714
31163,"Sherman County, Nebraska",1516
31165,"Sioux County, Nebraska",629
31167,"Stanton County, Nebraska",3229
31169,"Thayer County, Nebraska",2568
31171,"Thomas County, Nebraska",365
31173,"Thurston County, Nebraska",2785
31175,"Valley County, Nebraska",2183
31177,"Washington County, Nebraska",10468
31179,"Wayne County, Nebraska",5334
31181,"Webster County, Nebraska",1748
31183,"Wheeler County, Nebraska",400
31185,"York County, Nebraska",6869
